termToDefine,definition
Bilgin Nesil,Bilgin Nesil ist ein ehemaliger türkischer Fußballspieler.
Etcharry,Etcharry ist eine französische Gemeinde mit 154 Einwohnern.
Azemilkos,Azemilkos war der König von Tyros während der Zeit des Alexanderzugs.
Siebendächerhaus,Das sogenannte Siebendächerhaus ist ein ehemaliges Gerberhaus in Memmingen.
Teilnehmernetzbetreiber,"Ein Teilnehmernetzbetreiber ist ein Betreiber von Ortsnetzen für die Telefonie, der Teilnehmer an sein Netz anschließt und damit Netzanschlüsse bereitstellt."
Daisy Kenyon,Daisy Kenyon ist ein US-amerikanischer Spielfilm mit Elementen des Film-Noir aus dem Jahr 1947.
Sergei Wiktorowitsch Tertyschny,"Sergei Wiktorowitsch Tertyschny ist ein ehemaliger russischer Eishockeyspieler, der in seiner aktiven Zeit von 1987 bis 2006 unter anderem Russischer Meister mit dem HK Metallurg Magnitogorsk wurde."
Getaneh Molla,"Getaneh Tamire Molla ist ein äthiopischer Leichtathlet, der sich auf die Langstrecken - und Crossläufe spezialisiert hat. 2015 gewann er die Goldmedaille über 5000 Meter bei den Afrikaspielen."
Paula Häiväoja,Paula Häiväoja war eine finnische Schmuckdesignerin und Modedesignerin.
Land-grant,Mit dem Begriff Land-grant oder vereinfacht Grant werden Landvergaben in den neuenglischen Kolonien von Nordamerika bezeichnet.
Clandestinos,Clandestinos ist ein kubanischer Film im Stile eines Politthrillers.
James R. Wilson,"James Ricker Wilson, genannt Jim Wilson, war ein US-amerikanischer theoretischer Astrophysiker."
Slawismus,"Unter Slawismus versteht man ein slawisches Wort, das den Weg in andere Sprachen gefunden hat."
Bietigheimer Eisenbahnviadukt,Der Bietigheimer Eisenbahnviadukt ist eine Eisenbahnbrücke über das Enztal bei Bietigheim-Bissingen und eines der Wahrzeichen der Stadt.
Christoph von Taxis,Christoph von Taxis war Hofpostmeister unter Ferdinand I.
Krieg von Saint-Sardos,Der Krieg von Saint-Sardos war eine militärische Auseinandersetzung zwischen England und Frankreich.
Kokos-Insel (Costa Rica),Die Kokos-Insel ist eine unbesiedelte Insel im östlichen Pazifischen Ozean.
Tour de Picardie,Die Tour de Picardie war ein französisches Etappenrennen im Straßenradsport.
Glavna cesta 4,Die Glavna cesta 4 ist eine Hauptstraße erster Klasse in Slowenien.
Asynchronous Reliable Delivery Protocol,"Das ARDP -Protokoll ist ein Kommunikations-Protokoll, das für den Prospero -Service entwickelt wurde."
Portikus (Ausstellungshalle),Der Portikus ist eine Ausstellungsinstitution für zeitgenössische Kunst in Frankfurt am Main.
Siebenmeter,"Der Siebenmeter ist ein Strafwurf beim Handball, ein Strafschuss beim Hockey oder ein Strafstoß beim Hallen- oder Kleinfeldfußball."
Carl Rabitz,"Carl Rabitz war ein deutscher Maurermeister und Bauunternehmer, der als Erfinder der Rabitz-Putzkonstruktion und als Pionier im begrünten Flachdachbau hervortrat."
Thiazine,"Thiazine sind heterocyclische organische Verbindungen mit einem Ring aus vier Kohlenstoff -, einem Stickstoff - und einem Schwefel - Atom."
Thingdawl Te Tlang,Der Thingdawl Te Tlang ist ein Berg in Bangladesch.
Sopo Gelowani,Sopo Gelowani ist eine georgische Popsängerin.
