termToDefine,definition
Kuidaore,"Das japanische Wort ""Kuidaore"" beschreibt den Umstand, sich selbst in die Privatinsolvenz zu essen."
Eidam,Veraltete Bezeichnung für Schwiegersohn
Buttervogel,Buttervogel ist die altdeutsche Bezeichnung für einen Schmetterling
Radotieren,Veraltet: albern reden; ungehemmt schwatzen
Utepils,Norwegisches Wort für ein Draußen-Bier
Amtsschimmel,übertrieben genaue Handhabung der Dienstvorschriften
Gabelfrühstück,Das Gabelfrühstück ist ein reichhaltiges zweites Frühstück
Niktation,durch eine schnelle Folge von Zuckungen gekennzeichneter Krampf im Augenlid
Haderlump,Ein Haderlump ist eine altdeutsche Beleidigung und würde heutzutage soviel wie Vollidiot bedeuten
Hagestolz,"Altdeutsche Beschreibung eines überzeugten, aber etwas kauzigen Junggesellen"
Proklitikon,"unbetontes Wort, das sich an das folgende betonte anlehnt"
mononomisch,aus nur einem Glied bestehend
Prau,(Segel-)‍Boot der Malaien
Madonnenscheitel,Anderes Wort für Mittelscheitel
Kennermiene,EIne Kennermiene bezeichnet den Gesichtsausdruck einer versierten Person
Kreosot,aus Holzteer destilliertes Öl mit antiseptischer Wirkung
wilde Ehe,nicht offiziell eingetragene Lebensgemeinschaft
Blacktongue,krankhafte braune Verfärbung der Zunge
Hüsing,Seemannssprache: geteerte Leine
geogen,(auf natürliche Weise) in der Erde entstanden
Stase,Stau bzw. Stillstand einer normalerweise bewegten Flüssigkeit
Plempe,"ungeschliffener, plumper Säbel"
Faserschreiber,Synonym für Filzstift
Inundation,völlige Überflutung großer Teile des Festlandes
Krinoline,Über einem Gestell getragener Rock
Kehrordnung,eine Kehrordnung ist eine feste Reihenfolge
Kok Boru,"Nationalsport Kirgistans, bei dem zwei Mannschaften reitend um eine kopflose Ziegenleiche kämpfen"
Goldreinette,mittelgroßer goldgelber Tafelapfel
Druckangst,durch Druck auf die Brust (im Schlaf) erzeugte Angst
Burmesin,Aus Burma stammende Frau
Konteradmiral,Hochrangiger Offizier der Seestreitkräfte
Schillerlocke,Blätterteiggebäck mit Cremefüllung
konzessionslos,"keine Zugeständnisse, Einschränkungen machend"
Lachender Hans,ein Vogel aus der Familie der Eisvögel
Palmendieb,"Der Palmendieb ist der größte Krebs der Welt, der mit seinen Scheren problemlos eine Kokosnuss knacken kann"
Logger,Boot für die Fischerei mit Motorantrieb und einem Hilfssegel
Wandelnde Geige,"Eine Fangschrecke, geformt wie ein Musikinstrument"
amön,"Synonym für ""lieblich"""
Arge,"veraltet für: Teufel, Satan"
Dikdiks,Hasengroßen Zwergantilope
Schlägerpfanne,Schirmmütze aus Stoff oder Leder
Allerbarmer,christliche Bezeichnung für Gott oder Christus
Zariza,Ehefrau oder Witwe eines russischen Zaren
entrappen,Beeren von den Traubenstielen abtrennen
Kartätsche,Bis zum ersten Weltkrieg gebräuchliches Artilleriegeschoss
Quäke,"Instrument, das den Angstschrei eines Hasen nachahmt"
kostal,Zu den Rippen gehörend
Konstriktor,medizinischer Begriff für den Schließmuskel
Schlinger,"Tier, das Beute unzerkleinert hinunterschluckt"
Ertragsperle,"Hat man eine Ertragsperle, so hat man eine dauerhafte Erfolgsgarantie"
Habachtstellung,Militärisch stramme Haltung
Autoaggression,Aggression gegen die eigene Person gerichtetet
Kugeldreieck,Dreieck auf der Oberfläche einer Kugel
Rarum,"Fachbegriff für ein seltenes, besonderes Buch"
encanaillieren,"Encanaillieren bedeutet, sich mit Menschen der unteren sozialen Schicht abzugeben"
Mahr,"Nachtgespenst, das den Schlafenden quält"
Nauarch,Flottenführer im alten Griechenland
Zahnarme,Tier einer Ordnung primitiver Säugetiere mit nur sehr wenigen oder keinen Zähnen
Dämpfpuppe,"In der Reinigung genutzte, aufblasbare Puppe, über der Kleidungsstücke gedämpft werden"
Bundesschwester,Bezeichnung für ein Mitglied der gleichen studentischen Damenverbindung
Kornkasten,auf dem Felde kastenförmig zusammengestelltes Roggen
Homunkulus,Bezeichnung für einen künstlich erschaffenen Mensch
Prime,Auf dem Rand des Druckbogens angebrachte Signatur
Big-Apple-Walk,Besonders in den 30er- Jahren in den USA beliebter in Reihen getanzter Modetanz
Brustnadel,Eine Brustnadel ist ein anderes Wort für eine Brosche oder Anstecknadel
Reservatfall,"Sünde, die nur der Papst vergeben kann"
Seelenschmalz,"Das Wort Seelenschmalz beschreibt den Umstand, dass ein Mensch übertrieben Empfindlich ist"
Bordcase,"kleines Gepäckstück, das man bei Flugreisen unter den Sitz legen kann"
Gentry,Bezeichnung für den niederen englischen Adel
Milchleistung,Die von einer Kuh erzielte Menge an Milch
Visus,Der Visus ist ein medizinischer Fachbegriff für die Sehstärke
Richtsatzplan,Teil des Finanzplanes eines sozialistischen Betriebes in der DDR
Theodolit,technisches Instrument zur Winkelmessung
Kolorit,Das Wort Kolorit ist ein Synonym für Farbgebung
fickfacken,"Fickfacken ist ein auf dem Land verwendeter Begriff und bedeutet ""nach Ausreden suchen"""
Chausseefloh,ein kleines Auto oder Motorrad
Elukubration,Veralteter Begriff für wissenschaftliche Nachtarbeit
Schaila,"Als Schaila wird eine muslimische Kopfbedeckung bezeichnet, die von Frauen getragen wird."
Schuhplattler,"Volkstanz aus Bayern, bei dem sich die Burschen mit der Hand rhythmisch auf die Absätze schlagen"
Greisenhaupt,"Ein in Mexiko wachsender Kaktus, der oben mit weißen Haaren bedeckt ist"
Knautschkommode,ein umgangssprachlicher Begriff für ein Akkordeon
